HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.sent_id,Input.relation,Input.term1,Input.b1,Input.e1,Input.term2,Input.b2,Input.e2,Input.sentence,Input.baseline,Input.confidence,Input.sen_len,Answer.Q1,Answer.Q1text,Answer.Q2a,Answer.Q2b,Answer.b1val,Answer.b2val,Answer.e1val,Answer.e2val,Answer.factor1,Answer.factor2,Approve,Reject
30P8I9JKOIXPFU94LQZM8UM498DV56,359956SLTYAUE33RYLG092MRZ5YRLJ,Select ALL THE STATEMENTS between the TERMS in the SENTENCE,Read a SENTENCE and select ALL THE STATEMENT(S) that you think are expressed between the TWO HIGHLIGHTED TERMS in the text.,"relation extraction, text annotation",$0.13,Fri Nov 24 02:55:20 PST 2017,15,BatchId:3022312;OriginalHitTemplateId:;,600,604800,Fri Dec 01 02:55:20 PST 2017,,,3ND9UOO81LEIJS9OTPPR05X0GI7LWY,ABX5OQLR6UNBC,Approved,Fri Nov 24 10:47:48 PST 2017,Fri Nov 24 10:48:22 PST 2017,Fri Dec 01 10:48:22 PST 2017,Sun Nov 26 07:38:44 PST 2017,,,34,100% (787/787),100% (456/456),0% (0/0),d6454d7609369b5613a00b0df816e94e60185d7dea685d4f7b75fd103725d042:21-23:18-20,per:top_member_employee_of_org,Phyllis Schlafly,21,23,Eagle Forum,18,20,"With the election of Ronald Reagan , however , she was fired and replaced by a member of Phyllis Schlafly 's Eagle Forum .",1,0.5,24,per:founded_org,per:founded_org,PHYLLIS SCHLAFLY 's EAGLE FORUM,{},21,18,23,20,PHYLLIS SCHLAFLY,EAGLE FORUM,,
30P8I9JKOIXPFU94LQZM8UM498DV56,359956SLTYAUE33RYLG092MRZ5YRLJ,Select ALL THE STATEMENTS between the TERMS in the SENTENCE,Read a SENTENCE and select ALL THE STATEMENT(S) that you think are expressed between the TWO HIGHLIGHTED TERMS in the text.,"relation extraction, text annotation",$0.13,Fri Nov 24 02:55:20 PST 2017,15,BatchId:3022312;OriginalHitTemplateId:;,600,604800,Fri Dec 01 02:55:20 PST 2017,,,3RUIQRXJBC028YXPPBIPRUGKICSLLW,A38DXFI1TZA295,Approved,Fri Nov 24 23:14:19 PST 2017,Fri Nov 24 23:14:44 PST 2017,Fri Dec 01 23:14:44 PST 2017,Sun Nov 26 07:38:44 PST 2017,,,25,100% (166/166),100% (164/164),0% (0/0),d6454d7609369b5613a00b0df816e94e60185d7dea685d4f7b75fd103725d042:21-23:18-20,per:top_member_employee_of_org,Phyllis Schlafly,21,23,Eagle Forum,18,20,"With the election of Ronald Reagan , however , she was fired and replaced by a member of Phyllis Schlafly 's Eagle Forum .",1,0.5,24,per:founded_org,per:founded_org,PHYLLIS SCHLAFLY 's EAGLE FORUM,{},21,18,23,20,PHYLLIS SCHLAFLY,EAGLE FORUM,,
30P8I9JKOIXPFU94LQZM8UM498DV56,359956SLTYAUE33RYLG092MRZ5YRLJ,Select ALL THE STATEMENTS between the TERMS in the SENTENCE,Read a SENTENCE and select ALL THE STATEMENT(S) that you think are expressed between the TWO HIGHLIGHTED TERMS in the text.,"relation extraction, text annotation",$0.13,Fri Nov 24 02:55:20 PST 2017,15,BatchId:3022312;OriginalHitTemplateId:;,600,604800,Fri Dec 01 02:55:20 PST 2017,,,3WI0P0II624UDK4AHEHXUTHEFUVDRC,AJPQEZBVJXVE9,Approved,Fri Nov 24 12:34:45 PST 2017,Fri Nov 24 12:35:09 PST 2017,Fri Dec 01 12:35:09 PST 2017,Sun Nov 26 07:38:44 PST 2017,,,24,100% (897/897),100% (367/367),0% (0/0),d6454d7609369b5613a00b0df816e94e60185d7dea685d4f7b75fd103725d042:21-23:18-20,per:top_member_employee_of_org,Phyllis Schlafly,21,23,Eagle Forum,18,20,"With the election of Ronald Reagan , however , she was fired and replaced by a member of Phyllis Schlafly 's Eagle Forum .",1,0.5,24,per:founded_org,per:founded_org,PHYLLIS SCHLAFLY 's EAGLE FORUM,{},21,18,23,20,PHYLLIS SCHLAFLY,EAGLE FORUM,,
30P8I9JKOIXPFU94LQZM8UM498DV56,359956SLTYAUE33RYLG092MRZ5YRLJ,Select ALL THE STATEMENTS between the TERMS in the SENTENCE,Read a SENTENCE and select ALL THE STATEMENT(S) that you think are expressed between the TWO HIGHLIGHTED TERMS in the text.,"relation extraction, text annotation",$0.13,Fri Nov 24 02:55:20 PST 2017,15,BatchId:3022312;OriginalHitTemplateId:;,600,604800,Fri Dec 01 02:55:20 PST 2017,,,3300DTYQT3TZTP3A0U3HVLPUJJBQEW,A3SDFAOJW87FGP,Approved,Fri Nov 24 06:58:45 PST 2017,Fri Nov 24 06:59:04 PST 2017,Fri Dec 01 06:59:04 PST 2017,Sun Nov 26 07:38:43 PST 2017,,,19,100% (1602/1602),100% (409/409),0% (0/0),d6454d7609369b5613a00b0df816e94e60185d7dea685d4f7b75fd103725d042:21-23:18-20,per:top_member_employee_of_org,Phyllis Schlafly,21,23,Eagle Forum,18,20,"With the election of Ronald Reagan , however , she was fired and replaced by a member of Phyllis Schlafly 's Eagle Forum .",1,0.5,24,per:founded_org|per:top_member_employee_of_org,per:founded_org per:top_member_employee_of_org,'s,{},21,18,23,20,PHYLLIS SCHLAFLY,EAGLE FORUM,,
30P8I9JKOIXPFU94LQZM8UM498DV56,359956SLTYAUE33RYLG092MRZ5YRLJ,Select ALL THE STATEMENTS between the TERMS in the SENTENCE,Read a SENTENCE and select ALL THE STATEMENT(S) that you think are expressed between the TWO HIGHLIGHTED TERMS in the text.,"relation extraction, text annotation",$0.13,Fri Nov 24 02:55:20 PST 2017,15,BatchId:3022312;OriginalHitTemplateId:;,600,604800,Fri Dec 01 02:55:20 PST 2017,,,3EFVCAY5L4L1Y1P6S1X86AHMUMD8JI,A3U6IA3JUSFZ2M,Approved,Fri Nov 24 15:49:43 PST 2017,Fri Nov 24 15:50:31 PST 2017,Fri Dec 01 15:50:31 PST 2017,Sun Nov 26 07:38:43 PST 2017,,,48,100% (228/228),100% (169/169),0% (0/0),d6454d7609369b5613a00b0df816e94e60185d7dea685d4f7b75fd103725d042:21-23:18-20,per:top_member_employee_of_org,Phyllis Schlafly,21,23,Eagle Forum,18,20,"With the election of Ronald Reagan , however , she was fired and replaced by a member of Phyllis Schlafly 's Eagle Forum .",1,0.5,24,per:top_member_employee_of_org,per:top_member_employee_of_org,'s,{},21,18,23,20,PHYLLIS SCHLAFLY,EAGLE FORUM,,
30U1YOGZGA84RF7T61C0VJQPNLHSD6,359956SLTYAUE33RYLG092MRZ5YRLJ,Select ALL THE STATEMENTS between the TERMS in the SENTENCE,Read a SENTENCE and select ALL THE STATEMENT(S) that you think are expressed between the TWO HIGHLIGHTED TERMS in the text.,"relation extraction, text annotation",$0.13,Fri Nov 24 02:55:20 PST 2017,15,BatchId:3022312;OriginalHitTemplateId:;,600,604800,Fri Dec 01 02:55:20 PST 2017,,,33PPUNGG39HXGL969W6ULL0H3C5ZRX,A3UV55HC87DO9C,Approved,Fri Nov 24 12:50:03 PST 2017,Fri Nov 24 12:50:48 PST 2017,Fri Dec 01 12:50:48 PST 2017,Sun Nov 26 07:38:34 PST 2017,,,45,100% (515/515),100% (173/173),0% (0/0),20075f18b5dba3f25d959bb6056580463d645d14eeaa61623e17a70abe66114e:29-31:18-19,per:employee_or_member_of,Joseph Wirth,18,19,Germany,29,31,"Later Ewald Latacz lead conversations with head German politicians , September 4 , 1921 with Interior Minister of Germany - Georg Gradnauer and next with chancellor of Germany - Joseph Wirth .",1,0.6667,32,per:employee_or_member_of|per:top_member_employee_of_org,per:employee_or_member_of per:top_member_employee_of_org,chancellor of,{},18,29,19,31,JOSEPH WIRTH,GERMANY,,
30U1YOGZGA84RF7T61C0VJQPNLHSD6,359956SLTYAUE33RYLG092MRZ5YRLJ,Select ALL THE STATEMENTS between the TERMS in the SENTENCE,Read a SENTENCE and select ALL THE STATEMENT(S) that you think are expressed between the TWO HIGHLIGHTED TERMS in the text.,"relation extraction, text annotation",$0.13,Fri Nov 24 02:55:20 PST 2017,15,BatchId:3022312;OriginalHitTemplateId:;,600,604800,Fri Dec 01 02:55:20 PST 2017,,,36DSNE9QZ6A4JTCMZIM43W7M9QOOJ6,A3KN0O7VP8YSZY,Approved,Fri Nov 24 06:32:00 PST 2017,Fri Nov 24 06:33:54 PST 2017,Fri Dec 01 06:33:54 PST 2017,Sun Nov 26 07:38:34 PST 2017,,,114,100% (789/789),100% (228/228),0% (0/0),20075f18b5dba3f25d959bb6056580463d645d14eeaa61623e17a70abe66114e:29-31:18-19,per:employee_or_member_of,Joseph Wirth,18,19,Germany,29,31,"Later Ewald Latacz lead conversations with head German politicians , September 4 , 1921 with Interior Minister of Germany - Georg Gradnauer and next with chancellor of Germany - Joseph Wirth .",1,0.6667,32,per:employee_or_member_of|per:top_member_employee_of_org,per:employee_or_member_of per:top_member_employee_of_org,chancellor of,{},18,29,19,31,JOSEPH WIRTH,GERMANY,,
30U1YOGZGA84RF7T61C0VJQPNLHSD6,359956SLTYAUE33RYLG092MRZ5YRLJ,Select ALL THE STATEMENTS between the TERMS in the SENTENCE,Read a SENTENCE and select ALL THE STATEMENT(S) that you think are expressed between the TWO HIGHLIGHTED TERMS in the text.,"relation extraction, text annotation",$0.13,Fri Nov 24 02:55:20 PST 2017,15,BatchId:3022312;OriginalHitTemplateId:;,600,604800,Fri Dec 01 02:55:20 PST 2017,,,3K9FOBBF2IVSWY0A1OY44MK9N6DNLJ,AJPQEZBVJXVE9,Approved,Fri Nov 24 14:28:17 PST 2017,Fri Nov 24 14:28:44 PST 2017,Fri Dec 01 14:28:44 PST 2017,Sun Nov 26 07:38:34 PST 2017,,,27,100% (897/897),100% (367/367),0% (0/0),20075f18b5dba3f25d959bb6056580463d645d14eeaa61623e17a70abe66114e:29-31:18-19,per:employee_or_member_of,Joseph Wirth,18,19,Germany,29,31,"Later Ewald Latacz lead conversations with head German politicians , September 4 , 1921 with Interior Minister of Germany - Georg Gradnauer and next with chancellor of Germany - Joseph Wirth .",1,0.6667,32,per:employee_or_member_of|per:top_member_employee_of_org,per:top_member_employee_of_org per:employee_or_member_of,chancellor of,{},18,29,19,31,JOSEPH WIRTH,GERMANY,,
30U1YOGZGA84RF7T61C0VJQPNLHSD6,359956SLTYAUE33RYLG092MRZ5YRLJ,Select ALL THE STATEMENTS between the TERMS in the SENTENCE,Read a SENTENCE and select ALL THE STATEMENT(S) that you think are expressed between the TWO HIGHLIGHTED TERMS in the text.,"relation extraction, text annotation",$0.13,Fri Nov 24 02:55:20 PST 2017,15,BatchId:3022312;OriginalHitTemplateId:;,600,604800,Fri Dec 01 02:55:20 PST 2017,,,3N2BF7Y2VR6KSKWKY246ZF221Y5HMF,A2EEL9YYUHL5SK,Approved,Fri Nov 24 06:32:55 PST 2017,Fri Nov 24 06:37:49 PST 2017,Fri Dec 01 06:37:49 PST 2017,Sun Nov 26 07:38:34 PST 2017,,,294,100% (1316/1317),100% (121/121),0% (0/0),20075f18b5dba3f25d959bb6056580463d645d14eeaa61623e17a70abe66114e:29-31:18-19,per:employee_or_member_of,Joseph Wirth,18,19,Germany,29,31,"Later Ewald Latacz lead conversations with head German politicians , September 4 , 1921 with Interior Minister of Germany - Georg Gradnauer and next with chancellor of Germany - Joseph Wirth .",1,0.6667,32,per:employee_or_member_of|per:top_member_employee_of_org,per:employee_or_member_of per:top_member_employee_of_org,chancellor of,{},18,29,19,31,JOSEPH WIRTH,GERMANY,,
30U1YOGZGA84RF7T61C0VJQPNLHSD6,359956SLTYAUE33RYLG092MRZ5YRLJ,Select ALL THE STATEMENTS between the TERMS in the SENTENCE,Read a SENTENCE and select ALL THE STATEMENT(S) that you think are expressed between the TWO HIGHLIGHTED TERMS in the text.,"relation extraction, text annotation",$0.13,Fri Nov 24 02:55:20 PST 2017,15,BatchId:3022312;OriginalHitTemplateId:;,600,604800,Fri Dec 01 02:55:20 PST 2017,,,3S96KQ6I9NG7TZH2L3MSU8IW3GCDTB,A14WWG6NKBDWGP,Approved,Fri Nov 24 23:19:22 PST 2017,Fri Nov 24 23:20:06 PST 2017,Fri Dec 01 23:20:06 PST 2017,Sun Nov 26 07:38:34 PST 2017,,,44,100% (714/714),100% (57/57),0% (0/0),20075f18b5dba3f25d959bb6056580463d645d14eeaa61623e17a70abe66114e:29-31:18-19,per:employee_or_member_of,Joseph Wirth,18,19,Germany,29,31,"Later Ewald Latacz lead conversations with head German politicians , September 4 , 1921 with Interior Minister of Germany - Georg Gradnauer and next with chancellor of Germany - Joseph Wirth .",1,0.6667,32,per:employee_or_member_of|per:top_member_employee_of_org,per:employee_or_member_of per:top_member_employee_of_org,chancellor of Germany,{},18,29,19,31,JOSEPH WIRTH,GERMANY,,
30U1YOGZGA84RF7T61C0VJQPNLHSD6,359956SLTYAUE33RYLG092MRZ5YRLJ,Select ALL THE STATEMENTS between the TERMS in the SENTENCE,Read a SENTENCE and select ALL THE STATEMENT(S) that you think are expressed between the TWO HIGHLIGHTED TERMS in the text.,"relation extraction, text annotation",$0.13,Fri Nov 24 02:55:20 PST 2017,15,BatchId:3022312;OriginalHitTemplateId:;,600,604800,Fri Dec 01 02:55:20 PST 2017,,,3VHP9MDGROWN52TNQNMSTYLDR6OFCZ,A34QZDSTKZ3JO9,Approved,Fri Nov 24 19:34:10 PST 2017,Fri Nov 24 19:34:29 PST 2017,Fri Dec 01 19:34:29 PST 2017,Sun Nov 26 07:38:35 PST 2017,,,19,100% (1326/1326),100% (295/295),0% (0/0),20075f18b5dba3f25d959bb6056580463d645d14eeaa61623e17a70abe66114e:29-31:18-19,per:employee_or_member_of,Joseph Wirth,18,19,Germany,29,31,"Later Ewald Latacz lead conversations with head German politicians , September 4 , 1921 with Interior Minister of Germany - Georg Gradnauer and next with chancellor of Germany - Joseph Wirth .",1,0.6667,32,per:employee_or_member_of|per:top_member_employee_of_org,per:top_member_employee_of_org per:employee_or_member_of,chancellor of Germany,{},18,29,19,31,JOSEPH WIRTH,GERMANY,,
